ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8
H0500136;2571,2572,2585;"Cámara Lanza-Agua Gadget and Gifts";;;;;"<p>¡Empieza a preparar el verano y compra la <strong>cámara lanza-agua Gadget and Gifts</strong>! Refréscate a la vez que te lo pasas en grande gastando bromas a tus amigos o jugando con los pequeños de la casa en la playa, la piscina, en el campo... Esta <strong>pistola de agua</strong> está fabricada en plástico y es fácil de usar. Expositor punto de venta gratis por la compra de 36 unidades. Medidas aprox.: 5 x 9 cm.</p>";2253;;4.7;1.85;0.7;21;0;7569000753093;9;2.5;6.5;0.024;40;"2012-07-04 10:17:12";"2017-03-27 15:23:36";http://dropshipping.bigbuy.eu/imgs/camara-lanza-agua-00.jpg;http://dropshipping.bigbuy.eu/imgs/bro221_2.jpg;http://dropshipping.bigbuy.eu/imgs/bro221_1.jpg;;;;;
H4530115;2571,2572,2579;"Puzzle de Madera Esqueleto de Animales";;;;;"<p>El <strong>puzzle de madera esqueleto de animales</strong> es el regalo perfecto para que los niños estén entretenidos con este <strong>juego educativo</strong> en <strong>3D</strong> durante un buen rato. Los puzzles nunca pasan de moda y ayudan a desarrollar la destreza manual e intelectual. Además, cuando está montado sirve para decorar. Medidas aprox.: 18 x 17 cm. Disponible en varios diseños que se enviarán de forma aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 20 unidades.</p>";2258;;4.8;2.05;0.93;21;;7569000754984;23;18.5;0.5;0.148;53;"2014-08-04 07:12:05";"2017-03-24 15:04:41";http://dropshipping.bigbuy.eu/imgs/puzzle-de-madera-esqueleto-animales-00_1.jpg;http://dropshipping.bigbuy.eu/imgs/H4530115_79208.jpg;;;;;;
H4530116;2571,2572,2579;"Puzzle de Madera Esqueleto de Dinosaurio";;;;;"¿Te gustan los dinosaurios? Si tu respuesta es sí, te va a encantar el <b>puzzle de madera esqueleto de dinosaurio</b>. ¡La mejor manera de pasar un rato divertido con la familia! Disponible en varios diseños aleatorios según disponibilidad de stock. Medidas del esqueleto montado aprox.: 30 x 12 cm. Expositor punto de venta gratis por la compra de 20 unidades.";2258;;4.8;2.05;0.93;21;0;7569000754991;0.5;18.5;23;0.155;0;"2012-08-21 09:10:42";"2017-03-29 08:34:51";http://dropshipping.bigbuy.eu/imgs/puzzle-de-madera-esqueleto-dinosaurio-00.jpg;http://dropshipping.bigbuy.eu/imgs/H4530116_79207.jpg;http://dropshipping.bigbuy.eu/imgs/bro262_1.jpg;;;;;
H4530117;2571,2572,2579;"Puzzle de Madera Coches";;;;;"<p>Con <strong>el puzzle de madera Coches </strong>niños y mayores pasarán un rato divertido buscando la forma de juntar las piezas y montar el coche. Además, este <strong>puzzle 3D</strong> sirve como objeto de decoración cuando está montado. Disponible en varios diseños que se enviarán de manera aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 20 unidades. Medidas aprox.: 4 x 15 cm.</p>";2258;;4.8;2.05;0.93;21;;7569000764501;23;18.5;0.5;0.157;0;"2014-08-04 07:12:05";"2017-03-29 08:03:58";http://dropshipping.bigbuy.eu/imgs/puzzle-de-madera-coches-00.jpg;http://dropshipping.bigbuy.eu/imgs/coche_3.jpg;http://dropshipping.bigbuy.eu/imgs/coche_4.jpg;http://dropshipping.bigbuy.eu/imgs/bro268_1.jpg;http://dropshipping.bigbuy.eu/imgs/bro268_2.jpg;http://dropshipping.bigbuy.eu/imgs/bro268_3.jpg;;
H4530118;2571,2572,2579;"Puzzle de Madera Aviones";;;;;"<p>El <strong>puzzle de madera Aviones </strong>es un regalo perfecto para los amantes de los aviones. Los puzzles nunca pasan de moda y resultan entretenidos tanto a niños como a adultos. Además de pasar un rato divertido montándolo, sirve también como objeto decorativo <strong>3D</strong>. Disponible en varios diseños que se enviarán de forma aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 20 unidades.</p>";2258;;4.8;2.05;0.93;21;0;7569000755004;0.5;18.5;23;0.144;0;"2012-09-03 14:09:47";"2017-03-29 08:03:58";http://dropshipping.bigbuy.eu/imgs/puzzle-madera-avion-00.jpg;http://dropshipping.bigbuy.eu/imgs/puzzle-avion-madera-02.jpg;http://dropshipping.bigbuy.eu/imgs/puzzle-avion-madera-01.jpg;;;;;
H2500142;2571,2593,2610;"Estrellas Fluorescentes";;;;;"<p>¡Llena el techo de tu habitación o la de los más pequeños de la casa con las originales <strong>estrellas fluorescentes</strong>! La tenue luz que desprenden las estrellas es perfecta para los peques que no pueden dormirse a oscuras. Ideales para techos, paredes, muebles, etc. Cada caja incluye 16 estrellas de 3 tamaños diferentes. Expositor punto de venta gratis por la compra de 24 unidades.</p>";2258;;5.8;2.44;1.06;21;0;7569000747894;14.7;19.7;2.5;0.057;49;"2012-10-16 17:24:04";"2017-03-27 13:20:32";http://dropshipping.bigbuy.eu/imgs/estrellas1.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas2.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas0.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas.jpg;;;;
H4530126;2571,2572,2587;"Coche Teledirigido para iPhone, iPad, iPod";;;;;"<p>¡El <strong>coche teledirigido para iPhone, iPad, iPod</strong> es perfecto para los amantes de los coches! Diviértete con tus amigos haciendo carreras dirigiendo el coche por <strong>control remoto</strong> desde tu iPhone, iPad o iPod. Incluye 1 transmisor y 1 cargador que funciona con pilas (8 x AA, no incluidas). Duración de la carga completa de las pilas aprox.: 10 minutos. Medida aprox.: 10 cm de largo. Disponible en varios modelos enviados aleatoriamente según disponibilidad de stock.</p>";2258;;59.45;34.38;17.62;21;;5988088031909;14.5;8;8.7;0.295;20;"2014-08-04 07:12:05";"2017-03-24 15:05:38";http://dropshipping.bigbuy.eu/imgs/coche-de-carreras-die-cast-iphone-ipad-ipod-00.jpg;http://dropshipping.bigbuy.eu/imgs/helic-max_2.jpg;http://dropshipping.bigbuy.eu/imgs/helicmax.jpg;http://dropshipping.bigbuy.eu/imgs/die_cast_car_1.jpg;http://dropshipping.bigbuy.eu/imgs/die_cast_car_2.jpg;http://dropshipping.bigbuy.eu/imgs/coche-de-carreras-die-cast-iphone-ipad-ipod-04.jpg;http://dropshipping.bigbuy.eu/imgs/coche-de-carreras-die-cast-iphone-ipad-ipod-01.jpg;http://dropshipping.bigbuy.eu/imgs/coche-de-carreras-die-cast-iphone-ipad-ipod-03.jpg
H4530134;2571,2572,2585;"Juego Pompas de Jabón";;;;;"¿Todavía no tienes el <b>juego Pompas de jabón</b>? ¡No te pierdas el placer de hacer de las <b>burbujas </b>el juego más entretenido para niños y mayores! incorpora en la parte superior un juego de bolitas para poner a prueba la paciencia de los más pequeños. Capacidad: 60 ml. Expositor punto de venta gratis por la compra de 36 unidades. Disponemos de varios diseños que se enviarán aleatoriamente según disponibilidad de stock.";2258;;2.9;0.99;0.3;21;0;7569000755028;3.8;11.3;3.8;0.076;71;"2014-08-04 07:12:05";"2017-03-28 22:23:43";http://dropshipping.bigbuy.eu/imgs/pompas_de_jabon_1.jpg;http://dropshipping.bigbuy.eu/imgs/pompas-de-jabon.jpg;;;;;;
H4530138;2571,2572,2578;"Péndulo de Newton";;;;;"<p>¡El <strong>péndulo de Newton</strong> es un objeto que nunca pasa de moda! Es perfecto para regalar a los amantes de la física pero sirve también como objeto decorativo. Además, es un <strong>juego educativo</strong> perfecto para entender las leyes del movimiento de Newton. Medidas aprox.: 15 x 14 x 14 cm.</p>";2258;;12.9;6.45;3.3;21;0;7569000748051;15.1;16;14.5;0.288;11;"2014-08-04 07:12:05";"2017-03-29 08:34:51";http://dropshipping.bigbuy.eu/imgs/pendulo_de_newton_1.jpg;http://dropshipping.bigbuy.eu/imgs/pendulo_de_newton.jpg;http://dropshipping.bigbuy.eu/imgs/pendulo-de-newton_0.jpg;;;;;
H4530140;2571,2572,2585;"Pompero Catch A Bubble";;;;;"<p>¡Con el divertido <strong>pompero Catch A Bubble</strong> los más pequeños lo pasarán genial! Este clásico juguete es el regalo perfecto para mantener a los niños entretenidos jugando a hacer pompas de jabón.</p><ul><li>Disponible en 6 colores diferentes (servidos de forma aleatoria según stock)</li><li>Capacidad aprox. del recipiente: 10 ml</li><li>Expositor punto de venta gratuito por la compra de 36 unidades</li></ul>";2258;;2.9;1.28;0.52;21;0;7569000755042;4.2;8;2;0.022;455;"2013-05-06 19:49:35";"2017-03-24 15:06:50";http://dropshipping.bigbuy.eu/imgs/pompas-de-jabon-touchables-bubbles-00_1.jpg;http://dropshipping.bigbuy.eu/imgs/catcha-bubble-01.jpg;http://dropshipping.bigbuy.eu/imgs/catcha-bubble-02.jpg;http://dropshipping.bigbuy.eu/imgs/catcha-bubble-03.jpg;http://dropshipping.bigbuy.eu/imgs/pompas-de-jabon-touchables-bubbles-01.jpg;;;
H2500166;2571,2593,2610;"Estrellas y Planetas Fluorescentes";;;;;"<p>Con las <strong>estrellas y planetas fluorescentes</strong> tus hijos quedarán encantados cuando miren al techo y vean estrellas y planetas brillar en la oscuridad. Son ideales para decorar puertas, lámparas, techos de dormitorios...</p><p>Cada caja contiene 24 piezas con 3 combinaciones posibles (envío aleatorio según stock disponible):</p><ul><li>Estrellas</li><li>Luna y estrellas</li><li>Planetas y estrellas</li></ul><p>Expositor punto de venta gratuito por la compra de 24 unidades.</p>";2258;;4.35;1.87;0.71;21;0;7569000755486;2;11;9;0.032;260;"2014-08-04 07:12:05";"2017-03-27 13:20:32";http://dropshipping.bigbuy.eu/imgs/estrellas-y-planetas--fluorescentes-00.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas-planetas-fluorescentes-estrellas.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas-planetas-fluorescentes-luna-estrellas.jpg;http://dropshipping.bigbuy.eu/imgs/glow-galaxy-02.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas-planetas-fluorescentes.jpg;http://dropshipping.bigbuy.eu/imgs/estrellas-planetas-fluorescentes-stand.jpg;;
H4530156;2571,2572,2579;"Rompecabezas 3D Dinosaurio con Movimiento";;;;;"<p>¡Te presentamos el juguete educativo que estabas esperando para los más pequeños de la casa! El <b>rompecabezas 3D Dinosaurio con movimiento</b> les encantará y disparará su ingenio y concentración. Este <b>puzle </b>mágico se mueve gracias al dispositivo que se incluye. Solo hay que montar todas sus piezas y darle cuerda para que empiece a pasearse por todas partes. Edad recomendada: +3 años. Medidas una vez montado aprox.: 18 cm. Disponible en varios diseños que se enviarán de manera aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 30 unidades.</p>";2258;;4.5;1.93;0.99;21;0;7569000755059;12.5;10.5;2;0.033;58;"2013-07-22 16:12:09";"2017-03-28 04:52:40";http://dropshipping.bigbuy.eu/imgs/puzzle-3d-dinosaurio-con-movimiento-00_1.jpg;http://dropshipping.bigbuy.eu/imgs/H4530156_79175.jpg;http://dropshipping.bigbuy.eu/imgs/bro291_2_1.jpg;http://dropshipping.bigbuy.eu/imgs/bro291_1_1.jpg;http://dropshipping.bigbuy.eu/imgs/puzzle-3d-dinosaurio-con-movimiento-02_1.jpg;http://dropshipping.bigbuy.eu/imgs/puzzle-3d-dinosaurio-con-movimiento-01_1.jpg;http://dropshipping.bigbuy.eu/imgs/puzzle-3d-dinosaurio-con-movimiento-03_1.jpg;
B1530173;2571,2593,2596;"Cubiertos para Niños Dedo Junior Knows";;;;;"<p>Si tus hijos son de los que se pasan horas delante del plato para comer, los <strong>cubiertos para niños Dedo Junior Knows</strong> tienen que ser tuyos. La hora de la comida se llenará de diversión con estos <strong>cubiertos infantiles</strong> de plástico. El pack se compone de 2 cucharas Dedo y 2 tenedores Dedo de colores variados. Medidas aprox.: 8,5 cm. Expositor punto de venta gratis por la compra de 24 unidades.</p>";2258;;2.55;1.16;0.57;21;0;7569000749379;21.3;15;2.5;0.03;47;"2013-08-05 09:50:52";"2017-03-24 08:16:49";http://dropshipping.bigbuy.eu/imgs/plastic-finger-cutlery-00.jpg;http://dropshipping.bigbuy.eu/imgs/plastic-finger-cutlery-01.jpg;http://dropshipping.bigbuy.eu/imgs/plastic-finger-cutlery-02.jpg;http://dropshipping.bigbuy.eu/imgs/plastic-finger-cutlery-04.jpg;http://dropshipping.bigbuy.eu/imgs/cubiertos-plastico-dedo-expositor.jpg;;;
I4010119;2571,2593,2603;"Vigilabebés con Cámara TopCom 4400";;;;;"<p>¿Quieres tener a tu bebé controlado en todo momento con la mayor seguridad? ¡Te presentamos el <strong>vigilabebés con Cámara TopCom 4400</strong>!</p><p>Características:</p><ul><li>Fijación para la cuna</li><li>Alcance de hasta 200 m</li><li>Indicador de temperatura</li><li>Zoom digital</li><li>Activación de la pantalla si el bebé llora (detector de voz VOX)</li><li>Selector de luz nocturna y canciones de cuna</li><li>Temporizador para medicación y alimentación con alarma</li><li>Comunicación bidireccional para tranquilizar al bebé en la distancia</li><li>Pantalla LCD de 2,4""</li><li>Sujeción para el cinturón</li><li>Visión nocturna (6 x LED, incluidas)</li><li>Pilas: 3 x AAA Ni-MH (incluidas)</li></ul>";1245;;285.8;147.99;106.61;21;0;7569000765102;23;10;15;0.789;2;"2013-08-30 23:47:58";"2017-03-14 10:15:38";http://dropshipping.bigbuy.eu/imgs/topcom-vigilabebe-ks-4244-00.jpg;http://dropshipping.bigbuy.eu/imgs/topcom-vigilabebe-ks-4244-01.jpg;;;;;;
F1600001;2571,2593,2594;"Calienta Biberones y Esterilizador TopCom KF4301";;;;;"<p>Si buscas un producto útil para preparar el biberón de tu bebé, el <strong>calienta biberones y esterilizador TopCom KF4301</strong> es perfecto para ti. Este aparato sirve tanto para esterilizar el biberón como para calentarlo.</p><ul><li>Función calienta biberón</li><li>Función de esterilización</li><li>Mantiene el biberón caliente gracias al termostato integrado</li><li>Tiempo de calentamiento aprox. (biberón de 200 ml): 20 minutos</li><li>Exprimidor de fruta</li><li>Medidor de agua</li><li>Vaso para zumo</li></ul>";1245;;39.8;16.89;12.73;21;0;7569000751679;14.3;20.3;14.3;0.713;12;"2015-01-10 12:03:49";"2017-03-06 10:27:08";http://dropshipping.bigbuy.eu/imgs/topcom-calienta-biberones-kf-4301-00.jpg;http://dropshipping.bigbuy.eu/imgs/topcom-calienta-biberone-kf-4301-04.jpg;http://dropshipping.bigbuy.eu/imgs/topcom-calienta-biberones-kf-4301-02.jpg;http://dropshipping.bigbuy.eu/imgs/topcom-calienta-biberones-kf-4301-01.jpg;;;;
H4530183;2571,2572,2583;"Biberón de Juguete Magic Bottle";;;;;"¡Sorprende a los peques de la casa con el <b>biberón de juguete Magic Bottle</b>! Con este <b>biberón mágico para muñecos</b> los niños pensarán que la leche desaparece, como si el muñeco se la bebiese de verdad. Longitud aprox.: 15 cm. Diámetro aprox.: 4 cm. Edad recomendada:+3 años.";2258;;8.95;2.4;1.1;21;;7569000737314;13;23;4;0.079;0;"2013-11-29 08:24:46";"2017-03-29 08:03:59";http://dropshipping.bigbuy.eu/imgs/biberon-magico-00.jpg;http://dropshipping.bigbuy.eu/imgs/biberon-magico-02.jpg;http://dropshipping.bigbuy.eu/imgs/biberon-magico-01.jpg;;;;;
H4502008;2571,2593,2610;"Taburete Infantil Spiderman";;;;;"<p>¡El <strong>taburete infantil Spiderman</strong> es ideal para los fans del hombre araña! Dispone de tacos de goma en las patas que proporcionan estabilidad al taburete. Medidas aprox.: 23 x 21,5 x 23 cm. Edad recomendada: +3 años.</p>";1209;;12.9;6.44;3.27;21;;7569000738076;29;21.5;29;0.369;28;"2013-11-29 12:35:10";"2017-03-21 08:28:10";http://dropshipping.bigbuy.eu/imgs/H4502008_83854.jpg;;;;;;;
H4502010;2571,2593,2596;"Vaso con Pajita Spiderman";;;;;"¡No te pierdas el original <b>vaso con pajita Spiderman</b>! Con un sistema de placa giratoria en la parte superior, los más pequeños se quedarán alucinados cuando vean a Spiderman dar vueltas cada vez que beben. Fabricado de plástico. Medidas aprox.: 7,30 x 24,50 x 7,30 cm. Capacidad aprox.: 300 ml.";1209;;18.9;7.48;3.84;21;0;7569000738113;7.3;24.5;7.3;0.087;4;"2013-11-29 13:36:35";"2017-02-22 11:46:06";http://dropshipping.bigbuy.eu/imgs/H4502010_87826.jpg;http://dropshipping.bigbuy.eu/imgs/H4502010_87829.jpg;http://dropshipping.bigbuy.eu/imgs/H4502010_87828.jpg;http://dropshipping.bigbuy.eu/imgs/H4502010_87827.jpg;;;;
H4502015;2571,2593,2610;"Taburete Infantil Princesas Disney";;;;;"<p>¡A los fans de las princesas Blancanieves, Bella y Cenicienta les encantará el <strong>taburete infantil Princesas Disney</strong>! Este taburete para niños dispone de tacos de goma en las patas que proporcionan estabilidad. Medidas aprox.: 23 x 21,5 x 23 cm. </p>";1164;;12.9;6.44;3.27;21;0;7569000736539;29;21.5;29;0.369;8;"2013-12-02 14:53:23";"2017-03-16 15:34:11";http://dropshipping.bigbuy.eu/imgs/H4502015_93056.jpg;;;;;;;
H4502016;2571,2593,2596;"Fiambrera Minnie Disney";;;;;"<p>¡La <strong>fiambrera Minnie Disney</strong> es perfecta para que las niñas lleven el almuerzo o la merienda a cualquier parte! Esta pequeña tartera con la imagen de la popular ratoncita es ideal para regalar a las más pequeñas de la casa. Fabricada en PP. Medidas aprox.: 18 x 6 x 13 cm.</p>";1136;;7.4;2.5;1.29;21;0;7569000736515;18;6;13;0.095;52;"2013-12-02 15:02:13";"2017-03-24 12:15:49";http://dropshipping.bigbuy.eu/imgs/H4502016_136298.jpg;http://dropshipping.bigbuy.eu/imgs/H4502016_136297.jpg;;;;;;
H4600004;2571,2611,2613;"Mochila Infantil Spiderman";;;;;"<p><strong>Comprar Mochila Infantil Spiderman al mejor precio. </strong><strong>Mochila escolar</strong> apta para niños de más de 3 años. La <strong>mochila Spiderman </strong>es negra, roja y azul, y tiene la imagen del famoso personaje de dibujos animados <strong>Spiderman.</strong> Además de la cremallera principal, la <strong>mochila infantil Spiderman</strong> incluye un compartimento delantero abierto de menor tamaño. Por sus dimensiones y estampado esta <strong>mochila</strong> es idónea para llevarla al <strong>cole</strong>. ¡Les encantará!</p>";1209;;34.9;11.95;6.15;21;0;7569000738175;24;10;20;0.235;24;"2013-12-03 09:37:02";"2017-03-28 09:56:09";http://dropshipping.bigbuy.eu/imgs/H4600004_83851.jpg;http://dropshipping.bigbuy.eu/imgs/H4600004_83852.jpg;;;;;;
